account_name,created_at,display_name,friends_count,language,location,user_id
mckenna_culbert,Fri Feb 17 02:33:39 +0000 2012,Kenna,357,en,"Tucson, AZ",494609892
TheRyanTown,Tue Jun 11 22:06:30 +0000 2013,Ryan Town,179,en,"Thousand Oaks, CA",1507104967
shannon_mgott,Sat Aug 25 21:05:42 +0000 2012,Shan,239,en,shanflower,781093526
ClaudiaCordner,Fri Feb 13 00:28:38 +0000 2015,Claudia Cordner,263,en,not given,3033700529
Manweath,Thu Dec 22 15:55:00 +0000 2011,Matthew Weathersby,842,en,not given,443831236
asdfghjill,Tue Apr 15 23:10:06 +0000 2014,jill,85,en,New York,2446182236
5MinuteTrade,Mon Apr 06 01:48:30 +0000 2009,Lawrence of Arabia,226,en,Where you are not,29118011
lott_elizabethh,Thu Feb 24 01:25:56 +0000 2011,liz 💀,138,en,not given,256766932
HytenDavidson,Wed Jan 13 16:10:37 +0000 2016,Hyten Davidson,756,en,not given,4795617695
onedogsopinion,Tue Nov 20 14:43:01 +0000 2012,One Dog's Opinion,860,en,"Brooklyn, NY",960586848
mckaylabrookee,Sat Sep 26 16:09:07 +0000 2015,McKayla Miller,236,en,not given,3694263373
lliw_seniag,Sat Oct 20 01:21:33 +0000 2012,LORD WILLING,1177,en,"Hockinson, WA",892204027
JackieHansen010,Mon Oct 10 02:48:47 +0000 2011,Jackie Hansen,314,en,not given,388043436
sydneyycompton,Thu May 02 02:07:20 +0000 2013,Syd Compton,173,en,not given,1396052629
sfoley13,Tue Jul 31 18:12:15 +0000 2012,Sierra Foley,208,en,not given,728923350
ry_oh_my_,Sun Aug 04 20:02:57 +0000 2013,ryann kelley,301,en,not given,1646031848
tta_kay,Sat Jul 05 17:06:22 +0000 2014,kay,479,en,not given,2676442024
emmaosowski,Mon Feb 27 23:20:16 +0000 2012,Emma Osowski,327,en,not given,506552062
aaranza1,Sun Apr 22 16:56:11 +0000 2012,aranza,147,es,not given,560428205
_MaddyElizabeth,Wed Jun 27 14:23:57 +0000 2012,madison,643,en,not given,620042575
shannonlynnee,Tue May 19 11:00:31 +0000 2015,shannon,146,en,MA,3289864367
chloerae3_,Sun May 03 16:19:30 +0000 2009,chloé,273,en,BUFFALOVE,37445111
Amanda_Sanborn,Mon Jan 17 19:18:04 +0000 2011,Amanda Schaefer,177,en,"Grand Rapids, MI",239495220
brookmartin_,Sun Sep 01 02:23:18 +0000 2013,brook,451,en,not given,1717437320
CoryPaige,Fri Jul 01 04:42:28 +0000 2011,Courtney,347,en,A Pocketful of Sunshine,327199126
bailiebunge,Tue Jan 06 23:46:04 +0000 2015,Bailie Bunge,112,en,not given,2965139817
k80daley,Fri May 27 21:21:35 +0000 2011,Kate Daley,389,en,Canada,306425004
m_saloka55,Sat Jan 21 07:20:31 +0000 2012,Meagh,625,en,Virginia Tech ,470015815
abbystuart97,Tue Aug 06 18:05:59 +0000 2013,Abby Stuart,318,en,not given,1650912517
c_prev,Sun Sep 18 23:45:11 +0000 2011,ophelia,333,en,psu,375912916
eliza_lozie,Sat Apr 18 04:21:14 +0000 2009,eliza,168,en,"San Francisco, CA",32781045
ficojanic,Tue Nov 24 06:47:26 +0000 2009,Fico Janic,61,en,not given,92216791
merifff,Sun Dec 23 21:03:26 +0000 2012,Meredith Melton,153,en,not given,1031334794
sydley828,Fri Dec 07 21:02:52 +0000 2012,sydney moler,255,en,not given,995859938
Splendamomma,Tue Mar 27 16:10:51 +0000 2012,Heidi Anderson,94,en,"Albuquerque, NM",538278235
CChristopher51,Tue Oct 28 06:41:30 +0000 2008,Charlie Christopher,1408,en,Los Angeles,17016893
shioshoujo,Mon Jan 12 05:41:14 +0000 2015,✨hanna✨,242,en,not given,2975856650
TheUnDaniel,Fri Mar 04 04:24:11 +0000 2011,Fudgy Perks,280,en,"Avon, OH (for some reason)",260578334
ytailblazers,Fri Apr 17 20:37:02 +0000 2009,Tail Blazers,1778,en,"Toronto, Ontario, Canada",32570055
EVIE_W0NDER,Sun Sep 29 03:38:28 +0000 2013,evie wonder,453,en,"In like VA, MA, or CO idek man",1916024292
sarahdullmoon,Mon Jun 10 21:38:25 +0000 2013,Sarah Muldoon,382,en,not given,1499464598
LydiaDiCaprio,Tue Jun 14 23:31:15 +0000 2011,Lydia DiCaprio,107,en,Houston,317450471
SydneyJChilders,Thu Jan 27 04:05:56 +0000 2011,Netflix and Childers,716,en,not given,243481831
Purposely_Live,Tue Dec 25 16:14:52 +0000 2012,"Coffee, Ride & Run",369,en,not given,1035102614
stickergrub,Thu Jan 15 03:10:50 +0000 2015,StickerGrub,748,en,World Wide Shipping ,2979337366
maddielegit,Thu May 24 23:23:58 +0000 2012,maddie,218,en,not given,589508359
DivineNoodles,Sun Jan 22 16:31:13 +0000 2012,The FSM,4112,en,Mount Salsa,471211848
KristenMcCabe4,Tue Nov 05 20:53:15 +0000 2013,Kristen McCabe,136,en,not given,2176794924
bl27brooke,Wed Sep 11 14:45:53 +0000 2013,brooke long,94,en,not given,1854569803
AfrazzleDazzle,Thu Jan 26 01:37:38 +0000 2012,Andrew Fraser,145,en,not given,474486424
sophiexmandel,Fri Oct 10 00:08:10 +0000 2014,soph🦑,186,en,"Ontario, Canada",2849333726
littleshelter,Fri Jul 16 17:25:05 +0000 2010,Little Shelter,3335,en,"Huntington, NY",167466698
_Jim__Jam_,Sun May 02 02:07:21 +0000 2010,Jamie,275,en,not given,139257266
Maddie_m15,Mon Aug 12 04:03:00 +0000 2013,Maddie Matejovsky,821,en,#Believeland,1664068908
JamieKerstetter,Thu May 26 07:34:21 +0000 2011,Jamie Kerstetter,1360,en,NJ/Vegas,305454456
mollymatilsky,Sat Nov 23 02:55:22 +0000 2013,Molly Matilsky,286,en,not given,2192235497
kyle_schiele,Wed Aug 05 19:17:47 +0000 2009,kc,193,en,not given,63226314
marissa_gem,Fri Jan 11 04:05:07 +0000 2013,mojito mami,298,en,"Tampa, FL",1078461151
ambrown,Wed Apr 11 21:07:59 +0000 2007,amb,4467,en,"St Johns, Portland  ☔️☕️⚽️🌻",4243691
johnny167167,Tue Oct 18 11:29:47 +0000 2011,johnny yuen,73,en,not given,393334099
manciniadam,Sun Jul 21 00:51:02 +0000 2013,Adam West,359,en,not given,1609380296
alexxxthomasss,Thu Aug 18 03:40:37 +0000 2011,Alex Thomas,327,en,not given,357280211
brookehano,Sat Jan 16 03:55:43 +0000 2016,brick hano,177,en,"Boise, ID",4766408257
joannamuses,Mon Jan 05 04:05:35 +0000 2009,Joanna Holman,2595,en,Melbourne,18622950
erinkay_,Wed Jun 20 22:33:20 +0000 2012,Erin,92,en,not given,613894470
KaleighCheree,Tue Jan 17 01:24:15 +0000 2012,kaleigh,604,en,tx,466070854
sofrostii,Sun Apr 10 02:37:40 +0000 2011,Cardo,400,en,probs w/ mily❤️,279817883
erinkay_,Wed Jun 20 22:33:20 +0000 2012,Erin,92,en,not given,613894470
AustinAan,Fri Feb 19 17:10:29 +0000 2016,AnaBanana,3,en,"Pennsylvania, USA",700729177608052736
katschmitt321,Sat Jan 26 22:33:39 +0000 2013,Katie Schmitt,264,en,not given,1123341866
mckiser93,Thu Jul 15 00:47:52 +0000 2010,Madison Kiser,481,en,not given,166790802
